     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,05/19/2018-05/25/2018,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R001,WHITEHALL STREET              ,00018820,00000881,00000100,00000345,00000041,00009219,00011031,00000000,00000000,00000000,00000123,00000210,00000300,00000049,00001846,00000660,00000287,00000000,00000387,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R003,CYPRESS HILLS                 ,00000939,00000065,00000007,00000006,00000000,00000807,00000391,00000000,00000000,00000000,00000001,00000002,00000025,00000002,00000023,00000011,00000004,00000000,00000001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00002364,00000156,00000005,00000035,00000000,00001617,00001156,00000000,00000000,00000000,00000000,00000012,00000062,00000000,00000100,00000016,00000015,00000000,00000015,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00002754,00000199,00000013,00000081,00000000,00001810,00001317,00000000,00000000,00000000,00000002,00000018,00000092,00000000,00000088,00000029,00000022,00000000,00000014,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00002801,00000167,00000020,00000071,00000000,00002340,00001555,00000000,00000000,00000000,00000003,00000014,00000109,00000003,00000115,00000029,00000030,00000000,00000028,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R007,104TH STREET                  ,00001774,00000082,00000004,00000020,00000000,00001103,00000787,00000000,00000000,00000000,00000001,00000013,00000018,00000001,00000055,00000016,00000013,00000000,00000014,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R008,111TH STREET                  ,00001804,00000099,00000016,00000040,00000000,00001268,00000745,00000000,00000000,00000000,00000000,00000008,00000026,00000000,00000047,00000027,00000010,00000000,00000015,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R009,121ST STREET                  ,00000825,00000058,00000005,00000016,00000001,00000557,00000454,00000000,00000000,00000000,00000000,00000007,00000035,00000001,00000034,00000012,00000003,00000000,00000010,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00022895,00001371,00000113,00000330,00000027,00011891,00012548,00000000,00000000,00000000,00000068,00000217,00000362,00000015,00001409,00000621,00000407,00000000,00000523,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00065733,00003358,00000171,00000492,00000022,00012419,00017831,00000000,00000000,00000000,00000052,00000626,00001372,00000013,00001798,00001877,00000617,00000000,00000826,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00053522,00002487,00000149,00000435,00000543,00010918,00016622,00000000,00000000,00000000,00000189,00000501,00000631,00000601,00001823,00002245,00000576,00000000,00000799,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R013,34TH STREET & 8TH AVENUE      ,00014417,00000660,00000059,00000212,00000119,00004665,00007457,00000000,00000000,00000000,00000092,00000212,00000139,00000197,00000872,00000584,00000253,00000000,00000273,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R014,FULTON STREET                 ,00052686,00001829,00000157,00000369,00000131,00016351,00024671,00000000,00000000,00000000,00000194,00000618,00000385,00000201,00003611,00001589,00000822,00000000,00000835,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R015,FIFTH AVENUE                  ,00023187,00001041,00000043,00000162,00000141,00005073,00009079,00000000,00000000,00000000,00000075,00000509,00000143,00000162,00001582,00001366,00000332,00000000,00000331,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R016,LEXINGTON AVENUE              ,00005386,00000277,00000022,00000032,00000016,00001642,00002911,00000000,00000000,00000000,00000025,00000091,00000029,00000013,00000432,00000273,00000091,00000000,00000060,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
