C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456,BMT,05/14/2016,00:00:00,REGULAR,0005661286,0001917052                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/14/2016,04:00:00,REGULAR,0005661320,0001917058                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/14/2016,08:00:00,REGULAR,0005661349,0001917102                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/14/2016,12:00:00,REGULAR,0005661462,0001917215                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/14/2016,16:00:00,REGULAR,0005661756,0001917312                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/14/2016,20:00:00,REGULAR,0005662135,0001917362                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/15/2016,00:00:00,REGULAR,0005662314,0001917405                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/15/2016,04:00:00,REGULAR,0005662340,0001917414                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/15/2016,08:00:00,REGULAR,0005662355,0001917430                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/15/2016,12:00:00,REGULAR,0005662435,0001917508                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/15/2016,16:00:00,REGULAR,0005662661,0001917555                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/15/2016,20:00:00,REGULAR,0005662951,0001917620                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/16/2016,00:00:00,REGULAR,0005663096,0001917655                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/16/2016,04:00:00,REGULAR,0005663109,0001917657                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/16/2016,08:00:00,REGULAR,0005663161,0001917769                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/16/2016,12:00:00,REGULAR,0005663318,0001918057                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/16/2016,16:00:00,REGULAR,0005663639,0001918117                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/16/2016,20:00:00,REGULAR,0005664598,0001918187                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/17/2016,00:00:00,REGULAR,0005664882,0001918222                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/17/2016,04:00:00,REGULAR,0005664898,0001918227                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/17/2016,07:42:01,REGULAR,0005664929,0001918292                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/17/2016,08:00:00,REGULAR,0005664943,0001918329                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,05/17/2016,12:00:00,REGULAR,0005665095,0001918659                                             
